user_id,item_id,category_id,behavior,timestamp,datetime,date,hour
10618,3024021,2735466,cart,1511794224,2017-11-27 14:50:24,2017-11-27,14
127487,1365841,3002561,pv,1511811453,2017-11-27 19:37:33,2017-11-27,19
103803,3633757,4145813,pv,1512124131,2017-12-01 10:28:51,2017-12-01,10
1016326,1691675,2366905,pv,1512051592,2017-11-30 14:19:52,2017-11-30,14
108397,719606,2940518,pv,1511742903,2017-11-27 00:35:03,2017-11-27,0
119514,2866444,2735466,pv,1512201779,2017-12-02 08:02:59,2017-12-02,8
105367,3648173,1879194,pv,1511925129,2017-11-29 03:12:09,2017-11-29,3
1006915,3200894,4690421,cart,1512180515,2017-12-02 02:08:35,2017-12-02,2
1010608,4723293,3937192,pv,1512045806,2017-11-30 12:43:26,2017-11-30,12
113111,1673114,2355072,pv,1511617041,2017-11-25 13:37:21,2017-11-25,13
105550,1866407,154040,pv,1511782575,2017-11-27 11:36:15,2017-11-27,11
1016721,1670333,1320293,pv,1512306979,2017-12-03 13:16:19,2017-12-03,13
105422,2596222,2667323,pv,1511842271,2017-11-28 04:11:11,2017-11-28,4
1014577,4349912,4145813,pv,1511614562,2017-11-25 12:56:02,2017-11-25,12
126950,1138241,4339722,pv,1512168897,2017-12-01 22:54:57,2017-12-01,22
1004862,1836259,672001,pv,1512307809,2017-12-03 13:30:09,2017-12-03,13
1014197,477067,3108044,pv,1512153039,2017-12-01 18:30:39,2017-12-01,18
1005877,1995695,672001,pv,1511869720,2017-11-28 11:48:40,2017-11-28,11
1017773,3257146,1051370,pv,1512170385,2017-12-01 23:19:45,2017-12-01,23
122091,3429882,1320293,pv,1512304072,2017-12-03 12:27:52,2017-12-03,12
102142,1403028,3619575,pv,1511879088,2017-11-28 14:24:48,2017-11-28,14
125164,1697837,3776866,pv,1511755464,2017-11-27 04:04:24,2017-11-27,4
1011050,117060,2693696,pv,1512171721,2017-12-01 23:42:01,2017-12-01,23
103538,2391174,3607361,pv,1512004836,2017-11-30 01:20:36,2017-11-30,1
110973,5100047,4276787,pv,1511970553,2017-11-29 15:49:13,2017-11-29,15
1008842,4777458,4358294,pv,1512313205,2017-12-03 15:00:05,2017-12-03,15
1007058,3752610,3335147,pv,1512140991,2017-12-01 15:09:51,2017-12-01,15
103902,3562114,982926,pv,1511601845,2017-11-25 09:24:05,2017-11-25,9
1013785,2857401,3002561,pv,1511774585,2017-11-27 09:23:05,2017-11-27,9
1001313,3808395,235534,pv,1512228486,2017-12-02 15:28:06,2017-12-02,15
10780,1478924,4145813,pv,1511688497,2017-11-26 09:28:17,2017-11-26,9
115197,201668,1029459,pv,1511863538,2017-11-28 10:05:38,2017-11-28,10
12002,288667,846990,pv,1512269241,2017-12-03 02:47:21,2017-12-03,2
116028,1156945,2581843,buy,1511913706,2017-11-29 00:01:46,2017-11-29,0
1006505,571442,1080785,pv,1511997785,2017-11-29 23:23:05,2017-11-29,23
121685,3444263,982926,pv,1511935589,2017-11-29 06:06:29,2017-11-29,6
